inci_name,natural_origin_pct,is_eu_banned,is_eu_restricted,is_sin_list,sin_list_flags,is_nanomaterial,is_nanomaterial_whitelisted,restriction,data_source
35783-57-4,10,True,False,False,,False,False,,COSING Prohibited List
51-84-3,10,True,False,False,,False,False,,COSING Prohibited List
3342-61-8,10,True,False,False,,False,False,,COSING Prohibited List
52-01-7,10,True,False,False,,False,False,,COSING Prohibited List
51-24-1,10,True,False,False,,False,False,,COSING Prohibited List
59-05-2,10,True,False,False,,False,False,,COSING Prohibited List
60-32-2,10,True,False,False,,False,False,,COSING Prohibited List
132-60-5,10,True,False,False,,False,False,,COSING Prohibited List
51-26-3,10,True,False,False,,False,False,,COSING Prohibited List
76-03-9,10,True,False,True,{PMT/vPvM},False,False,,COSING Prohibited List
84603-50-9,10,True,False,False,,False,False,,COSING Prohibited List
302-27-2,10,True,False,False,,False,False,,COSING Prohibited List
84649-73-0,10,True,False,False,,False,False,,COSING Prohibited List
51-43-4,10,True,False,False,,False,False,,COSING Prohibited List
90106-13-1,10,True,False,False,,False,False,,COSING Prohibited List
7683-59-2,10,True,False,False,,False,False,,COSING Prohibited List
57-06-7,10,True,False,False,,False,False,,COSING Prohibited List
5486-77-1,10,True,False,False,,False,False,,COSING Prohibited List
62-67-9,10,True,False,False,,False,False,,COSING Prohibited List
300-62-9,10,True,False,False,,False,False,,COSING Prohibited List
62-53-3,10,True,False,False,,False,False,,COSING Prohibited List
3818-62-0,10,True,False,False,,False,False,,COSING Prohibited List
61-80-3,10,True,False,False,,False,False,,COSING Prohibited List
51-06-9,10,True,False,False,,False,False,,COSING Prohibited List
123-82-0,10,True,False,False,,False,False,,COSING Prohibited List
543-82-8,10,True,False,False,,False,False,,COSING Prohibited List
530-34-7,10,True,False,False,,False,False,,COSING Prohibited List
105-41-9,10,True,False,False,,False,False,,COSING Prohibited List
65-49-6,10,True,False,False,,False,False,,COSING Prohibited List
26915-12-8,10,True,False,False,,False,False,,COSING Prohibited List
1300-73-8,10,True,False,False,,False,False,,COSING Prohibited List
482-44-0,10,True,False,False,,False,False,,COSING Prohibited List
90320-46-0,10,True,False,False,,False,False,,COSING Prohibited List
507-45-9,10,True,False,False,,False,False,,COSING Prohibited List
120-12-7,10,True,False,False,,False,False,,COSING Prohibited List
91995-52-7,10,True,False,False,,False,False,,COSING Prohibited List
101316-49-8,10,True,False,False,,False,False,,COSING Prohibited List
7440-36-0,10,True,False,False,,False,False,,COSING Prohibited List
84603-51-0,10,True,False,False,,False,False,,COSING Prohibited List
58-00-4,10,True,False,False,,False,False,,COSING Prohibited List
7440-38-2,10,True,False,False,,False,False,,COSING Prohibited List
8007-93-0,10,True,False,False,,False,False,,COSING Prohibited List
51-55-8,10,True,False,False,,False,False,,COSING Prohibited List
71-43-2,10,True,False,False,,False,False,,COSING Prohibited List
615-16-7,10,True,False,False,,False,False,,COSING Prohibited List
12794-10-4,10,True,False,False,,False,False,,COSING Prohibited List
644-26-8,10,True,False,False,,False,False,,COSING Prohibited List
500-34-5,10,True,False,False,,False,False,,COSING Prohibited List
59-63-2,10,True,False,False,,False,False,,COSING Prohibited List
73-48-3,10,True,False,False,,False,False,,COSING Prohibited List
7726-95-6,10,True,False,False,,False,False,,COSING Prohibited List
61-75-6,10,True,False,False,,False,False,,COSING Prohibited List
77-65-6,10,True,False,False,,False,False,,COSING Prohibited List
496-67-3,10,True,False,False,,False,False,,COSING Prohibited List
86-22-6,10,True,False,False,,False,False,,COSING Prohibited List
1050-48-2,10,True,False,False,,False,False,,COSING Prohibited List
71-91-0,10,True,False,False,,False,False,,COSING Prohibited List
357-57-3,10,True,False,False,,False,False,,COSING Prohibited List
94-24-6,10,True,False,False,,False,False,,COSING Prohibited List
2210-63-1,10,True,False,False,,False,False,,COSING Prohibited List
64-77-7,10,True,False,False,,False,False,,COSING Prohibited List
339-43-5,10,True,False,False,,False,False,,COSING Prohibited List
50-33-9,10,True,False,False,,False,False,,COSING Prohibited List
7440-43-9,10,True,False,False,,False,False,,COSING Prohibited List
92457-17-5,10,True,False,False,,False,False,,COSING Prohibited List
56-25-7,10,True,False,False,,False,False,,COSING Prohibited List
673-31-4,10,True,False,False,,False,False,,COSING Prohibited List
75-15-0,10,True,False,False,,False,False,,COSING Prohibited List
9001-05-2,10,True,False,False,,False,False,,COSING Prohibited List
483-17-0,10,True,False,False,,False,False,,COSING Prohibited List
8006-99-3,10,True,False,False,,False,False,,COSING Prohibited List
302-17-0,10,True,False,False,,False,False,,COSING Prohibited List
7782-50-5,10,True,False,False,,False,False,,COSING Prohibited List
94-20-2,10,True,False,False,,False,False,,COSING Prohibited List
5909-04-6,10,True,False,False,,False,False,,COSING Prohibited List
95-25-0,10,True,False,False,,False,False,,COSING Prohibited List
535-89-7,10,True,False,False,,False,False,,COSING Prohibited List
113-59-7,10,True,False,False,,False,False,,COSING Prohibited List
126-85-2,10,True,False,False,,False,False,,COSING Prohibited List
51-75-2,10,True,False,False,,False,False,,COSING Prohibited List
50-18-0,10,True,False,False,,False,False,,COSING Prohibited List
576-68-1,10,True,False,False,,False,False,,COSING Prohibited List
3785-21-5,10,True,False,False,,False,False,,COSING Prohibited List
80-77-3,10,True,False,False,,False,False,,COSING Prohibited List
78-41-1,10,True,False,False,,False,False,,COSING Prohibited List
3691-35-8,10,True,False,False,,False,False,,COSING Prohibited List
77-38-3,10,True,False,False,,False,False,,COSING Prohibited List
79-93-6,10,True,False,False,,False,False,,COSING Prohibited List
75-00-3,10,True,False,False,,False,False,,COSING Prohibited List
7440-47-3,10,True,False,False,,False,False,,COSING Prohibited List
84775-56-4,10,True,False,False,,False,False,,COSING Prohibited List
85116-75-2,10,True,False,False,,False,False,,COSING Prohibited List
664-95-9,10,True,False,False,,False,False,,COSING Prohibited List
23384-69-2,10,True,False,False,,False,False,,COSING Prohibited List
64-86-8,10,True,False,False,,False,False,,COSING Prohibited List
477-29-2,10,True,False,False,,False,False,,COSING Prohibited List
84696-03-7,10,True,False,False,,False,False,,COSING Prohibited List
508-75-8,10,True,False,False,,False,False,,COSING Prohibited List
8001-28-3,10,True,False,False,,False,False,,COSING Prohibited List
52964-42-8,10,True,False,False,,False,False,,COSING Prohibited List
8063-06-7,10,True,False,False,,False,False,,COSING Prohibited List
74-90-8,10,True,False,False,,False,False,,COSING Prohibited List
3590-16-7,10,True,False,False,,False,False,,COSING Prohibited List
5591-47-9,10,True,False,False,,False,False,,COSING Prohibited List
7009-49-6,10,True,False,False,,False,False,,COSING Prohibited List
358-52-1,10,True,False,False,,False,False,,COSING Prohibited List
2748-74-5,10,True,False,False,,False,False,,COSING Prohibited List
2167-85-3,10,True,False,False,,False,False,,COSING Prohibited List
511-75-1,10,True,False,False,,False,False,,COSING Prohibited List
541-20-8,10,True,False,False,,False,False,,COSING Prohibited List
306-53-6,10,True,False,False,,False,False,,COSING Prohibited List
5779-54-4,10,True,False,False,,False,False,,COSING Prohibited List
50-29-3,10,True,False,False,,False,False,,COSING Prohibited List
55-97-0,10,True,False,False,,False,False,,COSING Prohibited List
107-06-2,10,True,False,False,,False,False,,COSING Prohibited List
75-35-4,10,True,False,False,,False,False,,COSING Prohibited List
50-37-3,10,True,False,False,,False,False,,COSING Prohibited List
3572-52-9,10,True,False,False,,False,False,,COSING Prohibited List
85-79-0,10,True,False,False,,False,False,,COSING Prohibited List
538-66-9,10,True,False,False,,False,False,,COSING Prohibited List
56-38-2,10,True,False,False,,False,False,,COSING Prohibited List
115-79-7,10,True,False,False,,False,False,,COSING Prohibited List
125-64-4,10,True,False,False,,False,False,,COSING Prohibited List
752-61-4,10,True,False,False,,False,False,,COSING Prohibited List
2530-97-4,10,True,False,False,,False,False,,COSING Prohibited List
497-75-6,10,True,False,False,,False,False,,COSING Prohibited List
3562-55-8,10,True,False,False,,False,False,,COSING Prohibited List
479-92-5,10,True,False,False,,False,False,,COSING Prohibited List
58-46-8,10,True,False,False,,False,False,,COSING Prohibited List
486-17-9,10,True,False,False,,False,False,,COSING Prohibited List
1243-33-0,10,True,False,False,,False,False,,COSING Prohibited List
124-40-3,10,True,False,False,,False,False,,COSING Prohibited List
963-07-5,10,True,False,False,,False,False,,COSING Prohibited List
91-80-5,10,True,False,False,,False,False,,COSING Prohibited List
15351-09-4,10,True,False,False,,False,False,,COSING Prohibited List
657-24-9,10,True,False,False,,False,False,,COSING Prohibited List
87-33-2,10,True,False,False,,False,False,,COSING Prohibited List
109-77-3,10,True,False,False,,False,False,,COSING Prohibited List
110-61-2,10,True,False,False,,False,False,,COSING Prohibited List
51-28-5,10,True,False,False,,False,False,,COSING Prohibited List
329-71-5,10,True,False,False,,False,False,,COSING Prohibited List
573-56-8,10,True,False,False,,False,False,,COSING Prohibited List
436-40-8,10,True,False,False,,False,False,,COSING Prohibited List
60-46-8,10,True,False,False,,False,False,,COSING Prohibited List
147-20-6,10,True,False,False,,False,False,,COSING Prohibited List
57-96-5,10,True,False,False,,False,False,,COSING Prohibited List
71-81-8,10,True,False,False,,False,False,,COSING Prohibited List
302-40-9,10,True,False,False,,False,False,,COSING Prohibited List
